Temperature (°C),"Magnus (610.5, 17.27, 237.3), PSY74","Magnus (611.2, 17.62, 242.2), SON90","Magnus (611.2, 17.67, 243.5), NOAA","Alternative magnus, weather.gov","Arden Buck (611.21, 18.678, 257.14, 234.5), Wiki",Arden Buck dual,ČSN EN ISO 13788
-25.0,80.19202241031206,80.42616216399597,80.93813580894445,79.95710051421243,80.83885441273038,63.305087212094875,62.82604832005154
-24.5,83.90509688011237,84.13865043324387,84.66001531006182,83.66703296681503,84.55505425409417,66.54034567305203,66.05391084648292
-24.0,87.7715029644639,88.00430564456035,88.53490694464607,87.53048879601128,88.42423246762297,69.92690946784258,69.433207692003
-23.5,91.79676705420975,92.02865992555296,92.56831987399777,91.55301300594846,92.45191091242297,73.47117178814216,72.97034216892861
-23.0,95.98658370446287,96.21741488889516,96.76593160945582,95.74031969325303,96.64378061644042,77.17976557597989,76.6719572520438
-22.5,100.3468197108049,100.57644580353697,101.13359214938843,100.09829615476676,101.0057059284601,81.05957129306402,80.5449433074445
-22.0,104.88351825465132,105.1118058392769,105.67732818901324,104.63300706514997,105.54372874168212,85.11772489815134,84.59644602675641
-21.5,109.60290311826327,109.82973038529192,110.40334740364548,109.3506987248381,110.2640727893577,89.36162603666291,88.83387457083866
-21.0,114.51138296987504,114.736641443212,115.31804280596752,114.25780337882756,115.17314801295235,93.79894644679709,93.26490992713258
-20.5,119.61555571939695,119.83915209531786,120.42799717790118,119.3609436067565,120.27755500328998,98.43763858643712,97.89751348486261
-20.0,124.92221294514164,125.1440710484307,125.7399875776582,124.66693678473494,125.58408951511784,103.28594448519995,102.73993583234356
-19.5,130.43834439201194,130.6584072540537,131.26098992253327,130.1827996193681,131.09974705551807,108.35240482601877,107.80072578069438
-19.0,136.17114254157664,136.38937460531463,136.99818364799563,135.9157527544054,136.8317275465774,113.64586826069893,113.08873961830578
-18.5,142.12800725444959,142.3443967112493,142.95895644362486,141.8732254504364,142.78744006271063,119.17550096393354,118.61315060045544
-18.0,148.31655048537598,148.53111174895616,149.15090906642823,148.062860338043,148.97450764301865,124.95079643031046,124.38345867850924
-17.5,154.74460107141869,154.95737739414062,155.58186023206483,154.4925182448055,155.40077217904712,130.9815855188883,130.40950047319393
-17.0,161.42020959362418,161.63127583055734,162.25985158449313,161.17028309654862,162.07429937829502,137.27804674996423,136.70145949647116
-16.5,168.35165331253737,168.5611188388495,169.1931527445478,168.10446689320096,169.00338380380595,143.85071685870034,143.26987662658757
-16.0,175.54744117792097,175.75545296527042,176.39026643794008,175.30361475962889,176.19655399015954,150.7105016103204,150.12566084092055
-15.5,183.01631891302378,183.22306477076333,183.8599337031668,182.7765100717931,183.6625776361642,157.8686868816308,157.2801002112832
-15.0,190.76727417372857,190.9729861608637,191.6111391798001,190.53217965856535,191.41046687453226,165.3369500136649,164.74487316639596
-14.5,198.80954178289906,199.01449979687604,199.65311647762027,198.57989907952623,199.4494836188057,173.12737144028932,172.53206002627482
